From,To,Distance (m),Travel Time (1-10),Traffic Density
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",Him Lam Riverside,94.63,1,low
Him Lam Riverside,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",94.63,1,medium
"Tòa Nhà Xưởng B,","Toà nhà FPT đường số 8,",97.78,1,low
"Toà nhà FPT đường số 8,","Tòa Nhà Xưởng B,",97.78,1,medium
E50 Đường Số 9 Khu Dân Cư Him Lam,Him Lam Riverside,98.99,1,low
Him Lam Riverside,E50 Đường Số 9 Khu Dân Cư Him Lam,98.99,1,high
Chè Thiên Đường,Nhà Thuốc An Khang,103.24,2,low
Nhà Thuốc An Khang,Chè Thiên Đường,103.24,2,low
Nguyễn Văn Linh,Nhà Thuốc An Khang,111.26,2,medium
Nhà Thuốc An Khang,Nguyễn Văn Linh,111.26,2,medium
Nhà Thuốc An Khang,불막열삼,111.92,2,medium
불막열삼,Nhà Thuốc An Khang,111.92,2,low
43 Đường Số 43,"78B đường số 43, khu phố 4",115.54,2,low
"78B đường số 43, khu phố 4",43 Đường Số 43,115.54,2,low
Katinat,Siêu Thị K-Market,121.16,2,high
Siêu Thị K-Market,Katinat,121.16,2,medium
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Siêu Thị K-Market,126.15,2,low
Siêu Thị K-Market,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",126.15,2,high
Chè Thiên Đường,Nguyễn Văn Linh,127.61,2,low
Nguyễn Văn Linh,Chè Thiên Đường,127.61,2,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Katinat,129.33,2,low
Katinat,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",129.33,2,low
WinMart+,Quán Rắn Hương Phù Sa,132.83,2,low
Quán Rắn Hương Phù Sa,WinMart+,132.83,2,medium
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",541 Huỳnh Tấn Phát,139.06,2,low
541 Huỳnh Tấn Phát,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",139.06,2,high
Katinat,Si Cafe,141.72,2,high
Si Cafe,Katinat,141.72,2,low
Sunrise Cityview - Sảnh A,Cầu Kênh Tẻ,143.98,2,low
Cầu Kênh Tẻ,Sunrise Cityview - Sảnh A,143.98,2,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Quán Cơm Tâm Mộc,144.05,2,low
Quán Cơm Tâm Mộc,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",144.05,2,low
Siêu Thị K-Market,Si Cafe,144.23,2,medium
Si Cafe,Siêu Thị K-Market,144.23,2,medium
Katinat,Hà Huy Tập,144.94,2,medium
Hà Huy Tập,Katinat,144.94,2,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Hà Huy Tập,146.27,2,medium
Hà Huy Tập,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",146.27,2,low
Mai Văn Vĩnh,2/2 Đường Số 79,148.56,2,high
2/2 Đường Số 79,Mai Văn Vĩnh,148.56,2,low
"67 Mai Văn Vĩnh,",2/2 Đường Số 79,150.92,3,low
2/2 Đường Số 79,"67 Mai Văn Vĩnh,",150.92,3,medium
À La Main,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",157.18,3,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",À La Main,157.18,3,medium
Quán Cơm Tâm Mộc,Si Cafe,161.64,3,high
Si Cafe,Quán Cơm Tâm Mộc,161.64,3,high
Hương Sen Spa,Nhà Thuốc An Khang,162.11,3,medium
Nhà Thuốc An Khang,Hương Sen Spa,162.11,3,low
Katinat,Nguyễn Văn Linh,162.71,3,low
Nguyễn Văn Linh,Katinat,162.71,3,high
Parkson,Circle K,162.93,3,medium
Circle K,Parkson,162.93,3,low
Hà Huy Tập,Si Cafe,164.03,3,medium
Si Cafe,Hà Huy Tập,164.03,3,low
McDonald's,Circle K,167.71,3,high
Circle K,McDonald's,167.71,3,low
Cà Phê Long Béo,Đầu bến Tân Quy,170.61,3,high
Đầu bến Tân Quy,Cà Phê Long Béo,170.61,3,low
"1041/62/10 Trần Xuân Soạn,","1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",173.19,3,low
"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,","1041/62/10 Trần Xuân Soạn,",173.19,3,low
Hương Sen Spa,Nguyễn Văn Linh,178.0,3,low
Nguyễn Văn Linh,Hương Sen Spa,178.0,3,medium
"78B đường số 43, khu phố 4","170A Lâm Văn Bền, KP4,",178.86,3,medium
"170A Lâm Văn Bền, KP4,","78B đường số 43, khu phố 4",178.86,3,low
Nguyễn Văn Linh,불막열삼,184.99,3,low
불막열삼,Nguyễn Văn Linh,184.99,3,high
Katinat,Quán Ăn An Ký,188.18,3,low
Quán Ăn An Ký,Katinat,188.18,3,low
Trung Tâm Mua Sắm Vivo City,"1489 Nguyễn Văn Linh, Tòa IPC",188.19,3,high
"1489 Nguyễn Văn Linh, Tòa IPC",Trung Tâm Mua Sắm Vivo City,188.19,3,low
Hà Huy Tập,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",190.55,3,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Hà Huy Tập,190.55,3,medium
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",541 Huỳnh Tấn Phát,196.71,3,high
541 Huỳnh Tấn Phát,"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",196.71,3,low
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Tạp Hoá Ngọc Hân,203.09,4,high
Tạp Hoá Ngọc Hân,"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",203.09,4,medium
Bia Góc,Đầu bến Tân Quy,203.31,4,low
Đầu bến Tân Quy,Bia Góc,203.31,4,high
"20/10 đường số 2,",Phan Huy Thục,208.15,4,high
Phan Huy Thục,"20/10 đường số 2,",208.15,4,low
Đầu bến Tân Quy,호치민 지구촌 교회,209.5,4,low
호치민 지구촌 교회,Đầu bến Tân Quy,209.5,4,high
An Vegetarian,Quán Ăn An Ký,212.82,4,medium
Quán Ăn An Ký,An Vegetarian,212.82,4,low
Siêu Thị K-Market,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",213.88,4,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Siêu Thị K-Market,213.88,4,medium
Chè Thiên Đường,불막열삼,214.97,4,medium
불막열삼,Chè Thiên Đường,214.97,4,medium
Siêu Thị K-Market,Quán Ăn An Ký,216.36,4,low
Quán Ăn An Ký,Siêu Thị K-Market,216.36,4,low
À La Main,Hà Huy Tập,222.45,4,low
Hà Huy Tập,À La Main,222.45,4,high
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",Tạp Hoá Ngọc Hân,223.19,4,low
Tạp Hoá Ngọc Hân,"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",223.19,4,medium
Chè Thiên Đường,Katinat,224.39,4,medium
Katinat,Chè Thiên Đường,224.39,4,high
Quán Cơm Tâm Mộc,Quán Ăn An Ký,227.52,4,medium
Quán Ăn An Ký,Quán Cơm Tâm Mộc,227.52,4,medium
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",541 Huỳnh Tấn Phát,228.27,4,low
541 Huỳnh Tấn Phát,"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",228.27,4,medium
Quán Cơm Tâm Mộc,Nguyễn Văn Linh,229.22,4,medium
Nguyễn Văn Linh,Quán Cơm Tâm Mộc,229.22,4,low
À La Main,Siêu Thị K-Market,233.01,4,low
Siêu Thị K-Market,À La Main,233.01,4,low
Hà Huy Tập,Quán Ăn An Ký,236.86,4,low
Quán Ăn An Ký,Hà Huy Tập,236.86,4,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",À La Main,238.04,4,low
À La Main,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",238.04,4,low
À La Main,Si Cafe,242.2,4,medium
Si Cafe,À La Main,242.2,4,low
Chè Thiên Đường,Hương Sen Spa,257.73,5,medium
Hương Sen Spa,Chè Thiên Đường,257.73,5,medium
Quán Cơm Tâm Mộc,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",260.84,5,medium
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Quán Cơm Tâm Mộc,260.84,5,low
"163 đường 45,","78B đường số 43, khu phố 4",262.35,5,high
"78B đường số 43, khu phố 4","163 đường 45,",262.35,5,low
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",264.05,5,high
"Căn hộ 112, chung cư An Hoà 7, đường số 7,","26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",264.05,5,high
Katinat,Nhà Thuốc An Khang,265.66,5,medium
Nhà Thuốc An Khang,Katinat,265.66,5,low
Parkson,McDonald's,269.87,5,low
McDonald's,Parkson,269.87,5,medium
Chè Thiên Đường,Quán Ăn An Ký,270.07,5,medium
Quán Ăn An Ký,Chè Thiên Đường,270.07,5,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Nguyễn Văn Linh,275.31,5,low
Nguyễn Văn Linh,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",275.31,5,medium
An Vegetarian,Si Cafe,275.76,5,low
Si Cafe,An Vegetarian,275.76,5,medium
Siêu Thị K-Market,Nguyễn Văn Linh,279.16,5,low
Nguyễn Văn Linh,Siêu Thị K-Market,279.16,5,high
Nguyễn Văn Linh,Si Cafe,281.49,5,low
Si Cafe,Nguyễn Văn Linh,281.49,5,high
Cửa hàng Chuồn chuồn Đỏ,Công viên Mỹ Kim,286.76,5,high
Công viên Mỹ Kim,Cửa hàng Chuồn chuồn Đỏ,286.76,5,low
Chè Thiên Đường,Si Cafe,287.59,5,low
Si Cafe,Chè Thiên Đường,287.59,5,high
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Tạp Hoá Ngọc Hân,287.68,5,low
Tạp Hoá Ngọc Hân,"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",287.68,5,medium
À La Main,Quán Ăn An Ký,287.73,5,low
Quán Ăn An Ký,À La Main,287.73,5,high
Quán Cơm Tâm Mộc,À La Main,287.8,5,low
À La Main,Quán Cơm Tâm Mộc,287.8,5,low
À La Main,Công viên Mỹ Kim,288.15,5,low
Công viên Mỹ Kim,À La Main,288.15,5,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Chè Thiên Đường,289.52,5,medium
Chè Thiên Đường,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",289.52,5,low
"163 đường 45,",2/2 Đường Số 79,290.18,5,medium
2/2 Đường Số 79,"163 đường 45,",290.18,5,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",An Vegetarian,293.71,5,low
An Vegetarian,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",293.71,5,medium
"Chung cư mỹ cảnh, đường Phạm Thái Bường,","Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",294.36,5,high
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,","Chung cư mỹ cảnh, đường Phạm Thái Bường,",294.36,5,medium
Bia Góc,WinMart+,295.91,5,high
WinMart+,Bia Góc,295.91,5,medium
Nguyễn Văn Linh,Quán Ăn An Ký,296.68,5,low
Quán Ăn An Ký,Nguyễn Văn Linh,296.68,5,high
Tịnh xá Ngọc Quy,Trung Tâm Mua Sắm Vivo City,299.79,5,medium
Trung Tâm Mua Sắm Vivo City,Tịnh xá Ngọc Quy,299.79,5,high
Nguyễn Văn Linh,Hà Huy Tập,300.43,6,high
Hà Huy Tập,Nguyễn Văn Linh,300.43,6,high
British English Club,불막열삼,303.3,6,medium
불막열삼,British English Club,303.3,6,high
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Tạp Hoá Ngọc Hân,304.7,6,high
Tạp Hoá Ngọc Hân,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",304.7,6,low
Quán Cơm Tâm Mộc,Chè Thiên Đường,305.52,6,low
Chè Thiên Đường,Quán Cơm Tâm Mộc,305.52,6,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Si Cafe,307.11,6,low
Si Cafe,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",307.11,6,medium
Nguyễn Thị Thập,Hỷ Lạc Bánh Mì Chay,308.85,6,low
Hỷ Lạc Bánh Mì Chay,Nguyễn Thị Thập,308.85,6,low
À La Main,Trường Quốc tế Nam Sài Gòn,315.86,6,low
Trường Quốc tế Nam Sài Gòn,À La Main,315.86,6,low
Cà Phê Long Béo,WinMart+,319.41,6,medium
WinMart+,Cà Phê Long Béo,319.41,6,medium
British English Club,호치민 지구촌 교회,320.49,6,medium
호치민 지구촌 교회,British English Club,320.49,6,medium
Quán Rắn Hương Phù Sa,2/2 Đường Số 79,320.65,6,low
2/2 Đường Số 79,Quán Rắn Hương Phù Sa,320.65,6,low
British English Club,Nhà Thuốc An Khang,322.75,6,low
Nhà Thuốc An Khang,British English Club,322.75,6,medium
Katinat,Hương Sen Spa,325.41,6,medium
Hương Sen Spa,Katinat,325.41,6,low
Công viên Mỹ Kim,Trường Quốc tế Nam Sài Gòn,325.8,6,high
Trường Quốc tế Nam Sài Gòn,Công viên Mỹ Kim,325.8,6,medium
WinMart+,"36A, Đường 81,",327.74,6,high
"36A, Đường 81,",WinMart+,327.74,6,low
호치민 지구촌 교회,불막열삼,330.07,6,low
불막열삼,호치민 지구촌 교회,330.07,6,low
Đại Lý Sơn Nuớc Trường Đạt,"36A, Đường 81,",330.34,6,high
"36A, Đường 81,",Đại Lý Sơn Nuớc Trường Đạt,330.34,6,low
Chè Thiên Đường,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",333.29,6,medium
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Chè Thiên Đường,333.29,6,medium
À La Main,Katinat,334.72,6,medium
Katinat,À La Main,334.72,6,low
Katinat,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",335.04,6,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Katinat,335.04,6,medium
Quán Cơm Tâm Mộc,Nhà Thuốc An Khang,338.06,6,high
Nhà Thuốc An Khang,Quán Cơm Tâm Mộc,338.06,6,low
Mầm non Ban Mai,Nhà Thuốc Thái Thanh,342.7,6,low
Nhà Thuốc Thái Thanh,Mầm non Ban Mai,342.7,6,high
Chè Thiên Đường,Siêu Thị K-Market,343.57,6,medium
Siêu Thị K-Market,Chè Thiên Đường,343.57,6,low
"163 đường 45,",Quán Rắn Hương Phù Sa,343.99,6,high
Quán Rắn Hương Phù Sa,"163 đường 45,",343.99,6,low
Cà Phê Long Béo,호치민 지구촌 교회,344.5,6,medium
호치민 지구촌 교회,Cà Phê Long Béo,344.5,6,medium
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",345.34,6,high
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",345.34,6,low
Chè Thiên Đường,"15 Nguyen Cao,",346.13,6,high
"15 Nguyen Cao,",Chè Thiên Đường,346.13,6,low
Katinat,불막열삼,347.33,6,high
불막열삼,Katinat,347.33,6,medium
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Trường Quốc tế Nam Sài Gòn,348.4,6,low
Trường Quốc tế Nam Sài Gòn,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",348.4,6,low
Cửa hàng Chuồn chuồn Đỏ,Trường Quốc tế Nam Sài Gòn,349.25,6,low
Trường Quốc tế Nam Sài Gòn,Cửa hàng Chuồn chuồn Đỏ,349.25,6,medium
Bia Góc,호치민 지구촌 교회,349.51,6,high
호치민 지구촌 교회,Bia Góc,349.51,6,high
Parkson,Boutique Charmés,352.51,7,medium
Boutique Charmés,Parkson,352.51,7,high
Cầu Kênh Tẻ,Phan Huy Thục,357.87,7,low
Phan Huy Thục,Cầu Kênh Tẻ,357.87,7,low
Nhà Thuốc An Khang,Quán Ăn An Ký,359.89,7,medium
Quán Ăn An Ký,Nhà Thuốc An Khang,359.89,7,high
Cầu Kênh Tẻ,"20/10 đường số 2,",360.17,7,low
"20/10 đường số 2,",Cầu Kênh Tẻ,360.17,7,low
Công viên Mỹ Kim,An Vegetarian,360.84,7,low
An Vegetarian,Công viên Mỹ Kim,360.84,7,medium
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Nhà Thuốc An Khang,361.46,7,low
Nhà Thuốc An Khang,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",361.46,7,low
Nhà Thuốc An Khang,Si Cafe,363.58,7,low
Si Cafe,Nhà Thuốc An Khang,363.58,7,medium
British English Club,Chè Thiên Đường,363.61,7,medium
Chè Thiên Đường,British English Club,363.61,7,low
Hương Sen Spa,호치민 지구촌 교회,364.17,7,low
호치민 지구촌 교회,Hương Sen Spa,364.17,7,low
"36A, Đường 81,",Katinat Nguyễn Thị Thập,364.55,7,medium
Katinat Nguyễn Thị Thập,"36A, Đường 81,",364.55,7,high
Chè Thiên Đường,Hà Huy Tập,368.23,7,medium
Hà Huy Tập,Chè Thiên Đường,368.23,7,low
"163 đường 45,",43 Đường Số 43,368.29,7,low
43 Đường Số 43,"163 đường 45,",368.29,7,low
"36A, Đường 81,",Quán Rắn Hương Phù Sa,370.32,7,high
Quán Rắn Hương Phù Sa,"36A, Đường 81,",370.32,7,low
Quán Cơm Tâm Mộc,Hương Sen Spa,371.54,7,low
Hương Sen Spa,Quán Cơm Tâm Mộc,371.54,7,high
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Quán Ăn An Ký,373.42,7,high
Quán Ăn An Ký,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",373.42,7,medium
An Vegetarian,"15 Nguyen Cao,",374.01,7,low
"15 Nguyen Cao,",An Vegetarian,374.01,7,medium
An Vegetarian,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",374.7,7,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",An Vegetarian,374.7,7,low
645/51E Đ. Trần Xuân Soạn,Bệnh viện Tân Hưng,381.22,7,high
Bệnh viện Tân Hưng,645/51E Đ. Trần Xuân Soạn,381.22,7,medium
À La Main,An Vegetarian,384.8,7,low
An Vegetarian,À La Main,384.8,7,high
Siêu Thị K-Market,Nhà Thuốc An Khang,385.68,7,high
Nhà Thuốc An Khang,Siêu Thị K-Market,385.68,7,low
Cà Phê Long Béo,"36A, Đường 81,",388.96,7,low
"36A, Đường 81,",Cà Phê Long Béo,388.96,7,high
British English Club,Hương Sen Spa,392.68,7,low
Hương Sen Spa,British English Club,392.68,7,medium
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",392.95,7,medium
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",392.95,7,high
WinMart+,2/2 Đường Số 79,396.03,7,high
2/2 Đường Số 79,WinMart+,396.03,7,high
2/2 Đường Số 79,"78B đường số 43, khu phố 4",398.47,7,low
"78B đường số 43, khu phố 4",2/2 Đường Số 79,398.47,7,high
Katinat,An Vegetarian,400.43,8,high
An Vegetarian,Katinat,400.43,8,low
Parkson,Thiên Sơn Plaza,401.24,8,low
Thiên Sơn Plaza,Parkson,401.24,8,low
British English Club,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",401.51,8,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",British English Club,401.51,8,low
Tịnh xá Ngọc Quy,Đại học Cảnh sát,403.12,8,low
Đại học Cảnh sát,Tịnh xá Ngọc Quy,403.12,8,low
Nhà Thuốc An Khang,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",406.47,8,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Nhà Thuốc An Khang,406.47,8,low
"163 đường 45,","170A Lâm Văn Bền, KP4,",406.52,8,medium
"170A Lâm Văn Bền, KP4,","163 đường 45,",406.52,8,low
Nhà Thuốc An Khang,Hà Huy Tập,408.09,8,medium
Hà Huy Tập,Nhà Thuốc An Khang,408.09,8,high
Quán Cơm Tâm Mộc,불막열삼,408.27,8,medium
불막열삼,Quán Cơm Tâm Mộc,408.27,8,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",408.96,8,low
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",408.96,8,low
Nhà Mẫu Phú Mỹ Hưng,Circle K,411.25,8,medium
Circle K,Nhà Mẫu Phú Mỹ Hưng,411.25,8,low
Quán Ăn An Ký,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",411.75,8,high
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Quán Ăn An Ký,411.75,8,high
British English Club,"15 Nguyen Cao,",412.72,8,medium
"15 Nguyen Cao,",British English Club,412.72,8,low
Bệnh viện Tân Hưng,"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",413.31,8,low
"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",Bệnh viện Tân Hưng,413.31,8,medium
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",Bùi Văn Ba,413.59,8,low
Bùi Văn Ba,"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",413.59,8,low
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Saigon Riverside Complex,414.68,8,low
